s011	moderate	This paper argues that Maimon’s metaphilosophy presents a distinctive view on what the scientific role and method of philosophy should consist in: in the production of fictions of systematicity. It shows how Maimon’s philosophy of science links to metaphilosophical views, and ultimately leads him to adopt the so-called “method of fictions” to transform philosophy into a proper science. By connecting his remarks on scientific fictions and their methodological role with Kant’s doctrine of regulative ideas and the latter’s conception of systematicity, the paper develops a systematic account of the method of fictions, its employment in theoretical philosophy and the scientific image resulting from this view. 
s012	highly persuasive	In Nicomachean Ethics 10.7, Aristotle says that the contemplative wise person living the happiest and most self-sufficient life will need other people less than a person living a life of practical virtue. This seems to be in tension with Aristotle’s emphasis elsewhere on the political nature of human beings. I analyze in detail Aristotle’s most elaborate defense of the need for friends in the happy life in Nicomachean Ethics 9.9 to see whether and how he resolves the need for friends with the self-sufficiency of the happy life. The virtue-friendship described in the chapter does turn out to be more compatible with the self-contained unity of a happy life than other sorts of friendship, because collaboration in virtuous activities integrates the friend into one’s activities. This is true even for contemplative friendship, where, as Aristotle suggests in the ornate final argument of 9.9, the friends collaboratively contemplate human nature and take pleasure in the goodness of human life. The unity achieved in this kind of friendship is an imitation of God’s self-contemplative and self contained unity. Nonetheless, I conclude, there is no evidence that Aristotle did not think that friendship was conditioned on human failings and so that friends would be less necessary for those leading the most excellent contemplative lives. 
s013	persuasive	We want to know what gender is. But metaphysical approaches to this question have focused on the binary gender kinds men and women. By overlooking those who identify outside of the binary--the group I call 'genderqueer'--we are left without tools for understanding these new and quickly growing gender identifications. This metaphysical gap in turn creates a conceptual lacuna that contributes to systematic misunderstanding of genderqueer persons. In this paper, I argue that to better understand genderqueer identities, we must recognize a new type of gender kind: critical gender kinds, or kinds whose members collectively destabilize one or more pieces of dominant gender ideology. After developing a model of critical gender kinds, I suggest that genderqueer is best modeled as a critical gender kind that destabilizes the 'binary axis', or the piece of dominant gender ideology that says that the only possible genders are the binary, discrete, exclusive, and exhaustive kinds men and women. 
s014	persuasive	In this paper, I propose a solution to a notorious puzzle that lies at the heart of Kant’s Critique of Judgment. The puzzle arises because Kant asserts two apparently conflicting claims: (1) F→J: A judgment of beauty is aesthetic, i.e., grounded in feeling. (2) J→F: A judgment of beauty could not be based on and must ground the feeling of pleasure in the beautiful. I argue that (1) and (2) are consistent. Kant’s text indicates that he distinguishes two feelings: the feeling of the harmony of the cognitive faculties that is the ground of judgments of beauty (F1 → J), and the feeling of pleasure that is its consequence (J → F2). I develop and defend a view of Kant’s account of the structure of judgments of beauty that incorporates this crucial distinction. Next, I argue that my view resolves another long-standing problem for Kant’s “Deduction” of judgments of beauty: it allows him to claim that the harmony of the faculties is a condition of judgment in general without implying, absurdly, that all judgments are pleasurable. 
s015	persuasive	Perfectionism is an underexplored tradition, perhaps because of doubts about the grounds, content, and implications of perfectionist ideals. Aristotle, J.S. Mill, and T.H. Green are normative perfectionists, grounding perfectionist ideals in a normative conception of human nature involving personality or agency. This essay explores the prospects of normative perfectionism by examining Kant’s criticisms of the perfectionist tradition. First, Kant claims that the perfectionist can generate only hypothetical, not categorical, imperatives. But insofar as the normative perfectionist appeals to the normative category of personality or agency, rather than a biological category of humanity, it can represent perfectionist demands as categorical imperatives. Second, Kant accepts a moral asymmetry in which we aim at our own perfection but at the happiness, rather than the perfection, of others. However, the importance of autonomy in normative perfection explains why the perfectionist should recognize a self/other asymmetry. Indeed, when we see how the normative perfectionist can answer Kant’s criticisms while respecting Kant’s own claims about the connection between rational nature and moral requirements, we can see the basis for a normative perfectionist interpretation of Kant’s own ethical theory. Insofar as Kantians and normative perfectionists both base ethical demands on an appeal to rational nature, they face a common worry that the appeal to rational nature is empty or incomplete. Normative perfectionists have more and less concessive responses to this worry, providing perfectionist explanations of various apparently non-perfectionist goods. Even if we end up being pluralists about the good, perfectionist elements play an important role. Finally, because the normative perfectionist, like the Kantian, grounds its ideals and requirements in a conception of persons as rational agents, it provides a promising account of the rational authority of perfectionist demands. This comparison of normative perfectionist and Kantian essentials gives us reason to take the normative perfectionist tradition seriously.  
s016	highly persuasive	In constructing semantic theories of normative and evaluative terms, philosophers have commonly deployed a certain type of disagreement-based argument. The premise of the argument observes the possibility of genuine disagreement between users of a certain normative or evaluative term, while the conclusion of the argument is that, however differently those speakers employ the term, they must mean the same thing by it. After all, if they did not, then they would not really disagree. We argue that in many of the cases in which this argument is deployed, the conclusion not only fails to follow from the premises, but is very likely false. Disagreements between speakers who do not mean the same things by their words are common, genuine, and not easily distinguished from ordinary disagreements over the truth of literally expressed content. We make this case by developing the notion of a metalinguistic negotiation, an exchange in which speakers tacitly negotiate the proper deployment of some linguistic expression in a context. Metalinguistic negotiations express disagreements over information that is (a) conveyed pragmatically (rather than via literal semantic content) and (b) about what (and how) concepts should be deployed in the context at hand. We argue that neither of these features poses any obstacle to metalinguistic negotiations serving to express genuine, substantive disagreements that can be well worth engaging in. Contrary to what has been widely assumed in the literature, many normative and evaluative disputes—among ordinary speakers and even among philosophers themselves—may be of exactly this type, a conclusion with important consequences for both the subject matter and the methodology of metanormative theory. 
s017	Not persuasive	Between the first and second editions of A System of Logic, John Stuart Mill underwent a startling conversion from an uncompromising frequentist philosophy of probability to a thoroughly Bayesian degree-of-belief view. The conversion was effected by correspondence with the eminent scientist Sir John Herschel, to whom Mill already owed what have become known as Mill's Methods of Experimental Inference. We present the relevant correspondence, and discuss the extent of Mill's conversion.  
s018	weakly persuasive	The philosophical literature on time and change is fixated on the issue of whether the B-series account of change is adequate or whether real change requires Becoming of either the property-based variety of McTaggart's A-series or the non-property-based form embodied in C. D. Broad's idea of the piling up of successive layers of existence. For present purposes it is assumed that the B-series suffices to ground real change. But then it is noted that modern science in the guise of Einstein's general theory poses a threat to real change by implying that none of the genuine physical magnitudes countenanced by the theory changes its value with time. The aims of this paper are to explain how this seemingly paradoxical conclusion arises and to assess the merits and demerits of possible reactions to it. 
s019	persuasive	First-person data have been both condemned and hailed because of their alleged privacy. Critics argue that science must be based on public evidence: since first-person data are private, they should be banned from science. Apologists reply that first-person data are necessary for understanding the mind: since first-person data are private, scientists must be allowed to use private evidence. I argue that both views rest on a false premise. In psychology and neuroscience, the subjects issuing first-person reports and other sources of first-person data play the epistemic role of a (self-) measuring instrument. Data from measuring instruments are public and can be validated by public methods. Therefore, first-person data are as public as other scientific data: their use in science is legitimate, in accordance with standard scientific methodology. 
s020	persuasive	On Angelika Kratzer’s canonical account, modal expressions are represented semantically as quantifiers over possibilities whose domains are contextually restricted. Recently, the canon’s neat story has come under attack. The challenge cases involve the epistemic use of a modal sentence for which no single resolution of its contextual parameter appears capable of accommodating all our intuitions. According to these revisionists, such cases show that the canonical story needs to be amended in some way that makes multiple bodies of information relevant to the assessment of such statements. Here I show that how the right canonical, flexibly contextualist account of modals can accommodate the full range of challenge cases. The key will be to extend Kratzer’s formal semantic account with an account of how context selects values for a modal’s parameters. The strategy here is a broadly Gricean one; on this view, a context must be capable of publicly manifesting a speaker’s parameter-value determining intentions. I argue that all of the challenge cases can be explained in a contextualist-friendly way by appeal to the failure of this publicity constraint on contexts. 
s021	moderate	It has long been a commonplace that there is a problem understanding the role of time when one tries to quantize the General Theory of Relativity (GTR). In his "Thoroughly Modern McTaggart" (Philosophers' Imprint Vol 2, No. 3), John Earman presents several arguments to the conclusion that there is a problem understanding change and the passage of time in the unadorned GTR, quite apart from quantization. His Young McTaggart argues that according to the GTR, no physical magnitude ever changes. A close consideration of Young McTaggart's arguments show that they turn on either a bad choice of formalism or an unwarranted interpretation of the implications of the formalism. This suggests that the problems that arise in quantization may be founded in similar shortcomings. 
s022	moderate	Towards the conclusion of the First Section of the Groundwork of the Metaphysics of Morals, Kant describes a process whereby a subject can undergo a kind of moral corruption. This process, which he calls a “natural dialectic”, can cause one to undermine one’s own or¬dinary grasp of the demands of morality. Kant also claims that this natural dialectic is the basis of the need for moral philosophy itself, since first-order moral reasoning is insufficient to protect against it. I show that this passage is closely related to another in the First Section, one where Kant warns against the threat of “misology”, or the hatred of reason. I argue that both these passages must be read as engaging with specific claims from Rousseau’s writings. Uncovering the historical context and rhetorical function of Kant’s account of moral self-deception can re-orient the reader to his ambitions for the Groundwork itself.  
s023	persuasive	This paper explores an apparent tension between two widely held views about logic: that logic is normative and that there are multiple equally legitimate logics. The tension is this. If logic is normative, it tells us something about how we ought to reason. If, as the pluralist would have it, there are several correct logics, those logics make incompatible recommendations as to how we ought to reason. But then which of these logics should we look to for normative guidance? I argue that inasmuch as pluralism draws its motivation from its ability to defuse logical disputes---that is, disputes between advocates of rival logics---it is unable to provide an answer: pluralism collapses into monism with respect to either the strongest or the weakest admissible logic. 
s024	persuasive	There has recently been a flurry of activity in the philosophy of language on how to best account for the unique features of epithets. One of these features is that epithets can be appropriated (that is, the offense-grounding potential of a term can be removed). We argue that attempts to appropriate an epithet fundamentally involve a violation of language-governing rules. We suggest that the other conditions that make something an attempt at appropriation are the same conditions that characterize acts of civil disobedience. Accounting for attempts at appropriation is thus both a linguistic and socio-political endeavor. We demonstrate how these two facets of attempts at appropriation also help us understand the communicative features of civil disobedience. 
s025	highly persuasive	Lipsey and Lancaster's ``general theory of second best'' is widely thought to have significant implications for applied theorizing about the institutions and policies that most effectively implement abstract normative principles. It is also widely thought to have little significance for theorizing about which abstract normative principles we ought to implement. Contrary to this conventional wisdom, I show how the second-best theorem can be extended to myriad domains beyond applied normative theorizing, and in particular to more abstract theorizing about the normative principles we should aim to implement. I start by separating the mathematical model used to prove the second-best theorem from its familiar economic interpretation. I then develop an alternative normative-theoretic interpretation of the model, which yields a novel second best theorem for idealistic normative theory. My method for developing this interpretation provides a template for developing additional interpretations that can extend the reach of the second-best theorem beyond normative theoretical domains. I also show how, within any domain, the implications of the second-best theorem are more specific than is typically thought. I conclude with some brief remarks on the value of mathematical models for conceptual exploration. 
s026	highly persuasive	Clear and distinct perception is the centerpiece of Descartes’s philosophy — it is the source of all certainty — but what does he mean by ‘clear’ and ‘distinct’? According to the prevailing approach, what it means for a perception to be clear is that its content has a certain objective property, like truth. I argue instead that clarity is a subjective, phenomenal quality whereby a content is presented as true to the perceiving subject. In the special case of completely clear intellectual perception, what is presented as true must be true. Further, I argue that the other perceptual qualities that Descartes identifies — obscurity, confusion, and distinctness — are all defined in terms of clarity. Of particular note is the fact that distinctness is not a positive feature to be added to clarity: a distinct perception is just a completely clear perception. 
s027	moderate	This paper proposes a new relational account of concepts and shows how it is particularly well suited to characterizing normative concepts. The key advantage of our ‘connectedness’ model is that it explains how subjects can share the same normative concepts despite radical divergences in the descriptive or motivational commitments they associate with them. The connectedness model builds social and historical facts into the foundations of concept identity. This aspect of the model, we suggest, reshapes normative epistemology and provides new resources for a vindication of realism in ethics. 
s028	weakly persuasive	We argue that beside belief, desire, and imagination, a novel mental state, i-desire, is needed to explain pretend behavior and emotional responses to things you are imagining. 
s029	persuasive	What is artistic style? In the literature one answer to this question has proved influential: the view that artistic style is the expression of personality. In what follows we elaborate upon and evaluatively compare the two most plausible versions of this view with a new proposal—that style is the expression of the artist’s ideals for her art. We proceed by comparing the views’ answers to certain questions we think a theory of individual artistic style should address: Are there limits on what range of features can figure in a style? Can flaws be stylistic? Are there limits on the range of art forms across which a given style can be exhibited? To what extent is a style a kind of unity, and why? What makes style an artistic achievement? Why do we care about style? By considering the different views' answers to these questions we argue that our proposal is a workable theory of individual style and suggest that it fares better on the whole than both versions of the influential and widely accepted view. 
s030	weakly persuasive	Considering her fame, Iris Murdoch's presence in contemporary philosophy is surprisingly limited. She is rarely cited and less often discussed. The reasons for this neglect are various, but they include the difficulty of finding definite arguments in her work. This essay attempts to recover The Sovereignty of Good as an intervention in existing and perennial disputes. Murdoch defends a radical internalism about moral reasons that avoids the problem of ethical rationalism and the question "Why be moral?" She derives this conception from a general theory of concepts that has Platonic roots, a theory on which the conditions of concept-possession are tied to the norms of practical and theoretical reason. As well as saving morality from the sceptic, this theory supports an ontological proof of the reality of the Good.   
s031	moderate	In addition to full beliefs, agents have attitudes of varying confidence, or credences. For instance, I do not believe that the Boston Red Sox will win the American League East this year, but I am at least a little bit confident that they will – i.e. I have a positive credence that they will. It is also common to think that agents have conditional credences. For instance, I am very confident – i.e. have a conditional credence of very-likely strength – that the Red Sox will win the AL East this year given that their pitching staff stays healthy. There are good reasons to think that conditional credences are neither credences nor some combination of credences. In this paper, I show that similar reasons support thinking that agents have what we can call quantificational credences – attitudes like, thinking that each AL East team with a healthy pitching staff is at least a little bit likely to win the division – which are neither credences, conditional credences, nor some combination thereof. I provide a framework for assessing the rationality of credal states which involve quantificational credences. And I give a general picture of credal states that explains the similarities and differences between ordinary, conditional, and quantificational credences.  
s032	highly persuasive	Discourse containing the verb ‘feel’, almost without exception, purports to describe inner experience. Though this much is evident, the question remains what exactly is conveyed when we talk about what and how we feel? Does discourse containing the word ‘feel’ actually succeed in describing the content and phenomenology of inner experience? If so, how does it reflect the phenomenology and content of the experience it describes? Here I offer a linguistic analysis of ‘feels’ reports and argue that a subset of ‘feels’ reports, when accurate, reflect the representational content of emotions, tactile experiences and bodily sensations. Because ‘feels’ reports may reflect the representational content of bodily experience, these types of report may be able to give us some insight into the structure of bodily experience. I argue that our descriptions of bodily experience, on the assumption that they are sometimes accurate, indicate that emotions and tactile experiences are experiences of bodily reactions to objects, whereas bodily sensations are partial descriptions of emotions and tactile experiences or other events of the body. At the end I address the concern that an adequate account of inner experience cannot be given in terms of an analysis of ordinary language. 
s033	highly persuasive	This paper explores Hume's relationship to skepticism — and, in particular, his relationship to the skeptical arguments outlined in Part 1.4 of the Treatise. Following recent work on these issues, I give a broadly non-skeptical interpretation of these passages. But this leaves us with the question of why Hume endorses such a response. I consider and criticize a popular answer to this question: the Practical Reading, according to which Hume's positive evaluation of some forms of reasoning at the close of Book 1 is based on purely practical grounds. Although I agree with one version of this interpretation that Hume's evaluation of his own reasoning in 1.4.7 has deep structural similarities with Humean moral evaluation, I argue that the former mode of evaluation is best thought of as concerned — not with narrowly practical considerations — but instead with a form of epistemic virtue. I then go on to outline the theory of epistemic virtue that I take to be implicit in Hume's account — one which focuses on the role of the "intellectual" passions of curiosity and ambition in epistemic evaluation. 
s034	persuasive	The idea that there is a fundamental difference in value between persons and things, and that respecting this difference is an important moral requirement, has strong intuitive appeal. Kantian ethics is unique in placing this requirement at the center of a moral system and in explicating the conditions for complying with it. Unlike challenges to Kantian ethics that focus on tragic cases that pit respect for one person against respect for another, this paper focuses on the question of how we can respect the value distinction between persons and things under conditions of uncertainty. After exploring why decision making under uncertainty is a neglected topic among Kantians and demonstrating how uncertainty challenges our ability to comply with this norm, we propose a notion of morally insignificant risk within a framework that allows agents to navigate real-world decisions involving material benefit and some risk to dignity without violating the Kantian’s core commitments. We conclude by exploring some of the challenges facing this approach. 
s035	highly persuasive	Reports on beliefs, desires, and other attitudes continue to raise foundational questions about linguistic meaning and the pragmatics of utterance interpretation. There is a strong intuition that an attitude report like ‘John believes that Mary smokes’ can simply convey the singular proposition that the individual Mary is believed by John to have the property of smoking. Yet, there is also a strong intuition that ‘Lois believes that Superman can fly’ can additionally convey how an individual is represented (viz. as a superhero not as a reporter). Cases of this sort can be generated with any name in a suitable context (Kripke 1979). It is far from settled how this should be explained. I propose the Open Instruction Theory (OIT), according to which the linguistic meaning of attitude report sentences consists in instructions to create mental models, where those instructions leave open, depending on the state of the discourse, the possibility of singular interpretations as well as of complex interpretations including information about ways of representing. The account makes precise the idea that attitude report sentences with proper names are semantically nonspecific (Soames 2004), rather than indexical (Schiffer 2000), yielding predictions about syntactic constraints on interpretation. On this view, linguistic meaning itself does not provide determinate propositions. Since Gricean pragmatics requires determinate propositions as input, I propose new principles of pragmatics for literal utterance interpretation that do not require them but remain strongly constrained by linguistic meaning. The core principle is “inference to the most responsive interpretation.” Roughly, among the range of literal interpretations allowed by linguistic meaning, the listener generates the one that most fully answers the background question she seeks to answer by engaging in discourse. The pragmatics of literal utterance interpretation is the pragmatics of interpreting potential answers, even if communicative intention may be more important for conversational implicature. The account predicts cases in which our interpretations differ from what we would take the speaker to have had in mind. Singular interpretations of attitude reports have a special status as default interpretations. I suggest some advantages of OIT over indexicalist, DRT, and free enrichment theories. I argue that to the extent that we have to go beyond a strict principle of linguistic constraint (Stanley 2005), we should aim toward a principle of psychological constraint. 
s036	persuasive	In this essay, I discuss two familiar objections to Hume's account of cognition, focusing on his ability to give a satisfactory account of the more normative dimensions of thought and language use. In doing so, I argue that Hume’s implicit account of these issues is far richer than is normally assumed. In particular, I show that Hume’s account of convention-driven artificial virtues like justice also applies to the proper use of conventional public languages. I then use this connection between Hume’s conception of language and his moral theory to show how he can respond to a number of basic objections to his views. In doing so, I explore the sense in which human cognition is essentially linguistic, and so social, for Hume, as well as many other issues concerning the relationship between Hume’s philosophy of mind and language, his epistemology, and his ethics.  
s037	highly persuasive	A compelling idea holds that reality has a layered structure. We often disagree about what inhabits the bottom layer (or even if there is one), but we agree that higher up we find chemical, biological, geological, psychological, sociological, economic, etc., entities: molecules, human beings, diamonds, mental states, cities, interest rates, and so on. How is this intuitive talk of a layered structure of entities to be understood? Traditionally, philosophers have proposed to understand layered structure in terms of either reduction or supervenience. But these traditional views face well-known problems. A plausible alternative is that layered structure is to be explicated by appeal to explanations of a certain sort, termed grounding explanations. Grounding explanations tell us what obtains in virtue of what. Unfortunately, the use of grounding explanations to articulate the layered conception faces a problem, which I call the collapse. The collapse turns on the question of how to ground the facts stated by the explanations themselves. In this paper I make a suggestion about how to ground explanations that avoids the collapse. Briefly, the suggestion is that the fact stated by a grounding explanation is grounded in its explanans. 
s038	moderate	This paper argues that Spinoza does not take extension in space to be a fundamental property of physical things. This means that when Spinoza calls either substance or a mode “an Extended thing”, he does not mean that it is a thing extended in three dimensions. The argument proceeds by showing, first, that Spinoza does not associate extension in space with substance, and second, that finite bodies, or physical things, are not understood through the intellect when they are conceived as extended in space. I conclude by articulating some suggestions about where we should go from here in trying to understand Spinoza’s account of the attribute of extension and of the physical world. 
s039	persuasive	In his discussions of the Eucharist, Descartes gives prominent place to the notion of the “surfaces” of bodies. Given this context, it may seem that his account of surfaces is of limited interest. However, I hope to show that such an account is in fact linked to a philosophically significant medieval debate over whether certain mathematical “indivisibles”, including surfaces, really exist in nature. Moreover, the particular emphasis in Descartes on the fact that surfaces are modes rather than parts of bodies bespeaks the influence of the later scholastic Francisco Suárez. However, in his own contribution to the medieval debate, Suárez refrained from identifying surfaces with modes, holding instead that they are special “constituents” of bodies that differ from the parts of which these bodies are composed. Two main conclusions derive from the comparison of the views of Suárez and Descartes on surfaces. The first is that Descartes’s “modal realist” account is in fact superior to the “moderate realist” account that Suárez offers, for reasons internal to Suárez’s own system. The second is that Suárez’s reasons for refraining from adopting modal realism in this case serve to highlight a serious deficiency in Descartes’s version of this view. In this way, a consideration of the relevant Suárezian background allows us to better appreciate both the strengths and the weaknesses of Descartes’s stance on the metaphysics of surfaces. 
s040	persuasive	Much recent philosophical attention has been devoted to the prospects of the Best System Analysis (BSA) of chance for yielding high-level chances, including statistical mechanical and special science chances. But a foundational worry about the BSA lurks: there don’t appear to be uniquely correct measures of the degree to which a system exhibits theoretical virtues, such as simplicity, strength, and fit. Nor does there appear to be a uniquely correct exchange rate at which the theoretical virtues trade off against one another in the determination of an overall best system. I argue that there’s no robustly best system for our world – no system that comes out best under every reasonable measure of the theoretical virtues and exchange rate between them – but rather a set of ‘tied-for-best’ systems: a set of very good systems, none of which is robustly best. Among the tied-for-best systems are systems that entail differing high-level probabilities. I argue that the advocate of the BSA should conclude that the high-level chances for our world are imprecise. 
s041	persuasive	I investigate the meaning and significance of Spinoza’s elusive concept of “expression”. I do so by situating expression among his canonical relations of conception, causation, and inherence. I argue that, for Spinoza, expression necessarily corresponds to what is sufficient for conception, but implies neither causation nor inherence. This correspondence with sufficient conditions on conception and the pulling apart of expression from causation and inherence has important consequences for our grasp of the interconnections among Spinoza’s key metaphysical relations. But it also has profound implications for our understanding of the essential structure of Spinoza’s ontology itself, and for the proper assessment of his rationalism. I explore these consequences by explicating Spinoza’s assertion that substance and each of its attributes are “conceived through themselves”, and by demonstrating that, on his view (though contrary to that of most commentators), the relation of conception is not to be accounted for in causal terms. A systematic treatment of the expression relation sheds new light on these issues. The result is a view of the underpinnings of Spinoza’s metaphysics that is as surprising as it is compelling. 
s042	moderate	The last half-century has seen a steady loss of confidence in the defensibility of a duty to obey the law - even a qualified, pro tanto duty to obey the laws of a just or nearly just state. Over roughly the same period, there has been increasing interest in virtue ethics as an alternative to the dominant consequentialist and deontological approaches to normative ethics. Curiously, these two tendencies have so far only just barely linked up. Although there has been discussion of the question whether patriotism should be considered a virtue, and abstract discussion about the virtuous person's relation to authority and justice in general, there has been little virtue-oriented discussion having specific reference to the kinds of difficulties that have motivated the ascendant skepticism about political obligation. This silence has persisted despite repeated calls for renewed work on "virtue politics ". This article proposes and defends a preliminary account of law-abidance (as contrasted to obedience) as a virtue. It argues that a virtue-theoretic account of our relation to the law offers advantages that are not contingent upon the independence or priority of the virtues with respect to consequentialist and deontological components of a complete moral theory. Chief among these advantages is the promise of an alternative to the deadlocked positions taken by apologists for the duty to obey the law and their philosophical-anarchist critics - positions which have tacitly been assumed to exhaust the viable possibilities. 
